bias_init_stdev,bias_range,bias_mutate_power,generations_to_target,max_fitness_achieved,timestamp
0.1,1.0,0.05,10,173.19999999999445,2024-12-05 14:48:26
0.1,1.0,0.1,4,200.09999999999292,2024-12-05 14:49:01
0.1,1.0,0.15000000000000002,10,90.79999999999912,2024-12-05 14:49:51
0.1,1.0,0.2,7,200.09999999999292,2024-12-05 14:50:40
0.1,3.0,0.05,10,57.80000000000055,2024-12-05 14:51:20
0.1,3.0,0.1,8,200.09999999999292,2024-12-05 14:52:01
0.1,3.0,0.15000000000000002,10,90.59999999999913,2024-12-05 14:52:46
0.1,3.0,0.2,8,200.09999999999292,2024-12-05 14:53:48
0.1,5.0,0.05,9,200.09999999999292,2024-12-05 14:54:52
0.1,5.0,0.1,10,200.09999999999292,2024-12-05 14:55:55
0.1,5.0,0.15000000000000002,9,200.09999999999292,2024-12-05 14:57:11
0.1,5.0,0.2,3,200.09999999999292,2024-12-05 14:57:40
0.1,7.0,0.05,10,200.09999999999292,2024-12-05 14:58:53
0.1,7.0,0.1,6,200.09999999999292,2024-12-05 14:59:29
0.1,7.0,0.15000000000000002,3,200.09999999999292,2024-12-05 15:00:06
0.1,7.0,0.2,10,41.50000000000032,2024-12-05 15:00:37
0.1,9.0,0.05,6,200.09999999999292,2024-12-05 15:01:23
0.1,9.0,0.1,3,200.09999999999292,2024-12-05 15:01:54
0.1,9.0,0.15000000000000002,7,200.09999999999292,2024-12-05 15:02:42
0.1,9.0,0.2,10,90.39999999999914,2024-12-05 15:03:21
0.30000000000000004,1.0,0.05,8,200.09999999999292,2024-12-05 15:04:18
0.30000000000000004,1.0,0.1,8,200.09999999999292,2024-12-05 15:05:11
0.30000000000000004,1.0,0.15000000000000002,6,200.09999999999292,2024-12-05 15:05:49
0.30000000000000004,1.0,0.2,9,200.09999999999292,2024-12-05 15:07:06
0.30000000000000004,3.0,0.05,10,75.10000000000001,2024-12-05 15:07:49
0.30000000000000004,3.0,0.1,10,125.39999999999715,2024-12-05 15:08:41
0.30000000000000004,3.0,0.15000000000000002,6,200.09999999999292,2024-12-05 15:09:25
0.30000000000000004,3.0,0.2,9,200.09999999999292,2024-12-05 15:10:21
0.30000000000000004,5.0,0.05,10,90.29999999999914,2024-12-05 15:11:00
0.30000000000000004,5.0,0.1,7,200.09999999999292,2024-12-05 15:11:58
0.30000000000000004,5.0,0.15000000000000002,10,153.59999999999556,2024-12-05 15:12:46
0.30000000000000004,5.0,0.2,8,200.09999999999292,2024-12-05 15:13:35
